date,port_return,sharpe,risk,ret,w_IVV,w_SPY,w_VOO,w_VTI,w_XLB,w_XLE,w_XLF,w_XLI,w_XLK,w_XLP,w_XLRE,w_XLU,w_XLV,w_XLY
2021-01-05,5.293044257306648e-18,0.37373797318377905,0.2790383909406233,0.10428724267061154,0.0,0.0,0.0,0.0,0.0,2.498001805406602e-16,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0
2021-01-06,0.004032268977454549,0.7254021921220647,0.34154578233160293,0.24775805921339034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-07,0.0010084284505170154,-0.12758987704318567,0.40675951884553024,-0.051898396995646565,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0
2021-01-08,0.0034603424580953767,-0.1125162358633106,0.40664271450371187,-0.045753907577196516,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-01-11,-0.005495389255184962,-0.11707919838777542,0.40662333781496235,-0.0476071344371374,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-01-12,0.0002767105574769189,-0.09005694095506994,0.4067694549984137,-0.036632412791118125,0.0,0.0,0.0,0.0,0.0,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-01-13,0.00439951677879613,-0.1553394187051731,0.4069974874020929,-0.06322275310750712,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0
2021-01-14,0.001987288178671637,-0.18302887880086924,0.40681047627631783,-0.07445806535730207,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-01-15,-0.0033268725254080094,0.8001148633774298,0.4054307404638394,0.32439116151523506,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,0.004176831540154527,0.7752778032212326,0.4055565951171212,0.31441902614428463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,0.006336110192946482,0.7169640284825938,0.4055375873464433,0.2907558623250177,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,0.00412943505559689,0.7320810579914309,0.4056711502925496,0.29698416490277046,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,-0.0012338291739540633,0.7807057148751018,0.4060875121170199,0.31703484144916955,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.006701388445135876,-0.10034487425710656,0.3876478629643235,-0.03889847606519112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-01-26,-0.003404644388118161,-0.11948185700299269,0.38754608485702496,-0.04630472589295673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-01-27,-0.00930907028562209,-0.07496047405988987,0.3880539349359,-0.029088706923600726,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0
2021-01-28,0.004051037646187872,-0.09437334495865927,0.3881736064208073,-0.03663324166259768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-01-29,-0.0018516222218251134,-0.1748831164877823,0.38909884093253616,-0.06804681792406579,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-01,0.0016278240191355709,-0.15094459317631959,0.38927901782388385,-0.05875956297750341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-02,0.0027502009199768065,-0.18883792459027104,0.3891963756852805,-0.0734950358424638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-03,-0.0010611559108773024,-0.16493890168365913,0.38920690435432476,-0.0641953593318993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-04,0.002587221651677567,-0.15219395094941887,0.38928226592698506,-0.0592464060859702,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-05,0.0017807426182532037,-0.13466374008396834,0.3891697146127308,-0.05240704929716091,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-08,-0.002569040940964426,-0.12514056510581545,0.38922818779499424,-0.04870823537577804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-09,0.00047323869338956073,-0.1121027304434917,0.38926754137448333,-0.04363795426110446,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-10,0.0013087410987741642,-0.12372830743902455,0.3893293471075608,-0.048171061153958986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-11,-0.001906045474039519,-0.12979125228743973,0.3893123175246332,-0.050529333222447514,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-16,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.0,0.0
2021-02-12,0.003425249503887775,0.5613455732660215,0.38909789215430324,0.218418379327958,0.0,0.0,0.0,0.0,1.0,-9.43689570931383e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-16,-0.0037410084515255996,-0.14541926804966915,0.389353223726962,-0.05661946080715389,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-15,0.0,0.0,0.0,0.0,0.0,0.9999999999999987,0.0,0.0
2021-02-17,0.00026937555556634225,-0.19270821726641893,0.3892517869800152,-0.07501201793668659,0.0,0.0,0.0,0.0,0.0,-2.4980018054066022e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-18,-0.004796763873027497,-0.17867537653645071,0.6219439580739325,-0.11112607089343042,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0
2021-02-19,0.0034592885087113855,-0.1416312111420108,0.6220787006586276,-0.08810575979992981,0.0,0.0,0.0,0.0,0.0,0.9999999999999993,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,0.0,0.0
2021-02-22,0.0070967467383623905,-0.199529163868721,0.6223347358213985,-0.12417392948490502,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-23,0.003414093766334372,-0.1710404313511567,0.6225689192912603,-0.10648445650140063,0.0,0.0,0.0,0.0,0.0,0.9999999999999993,0.0,0.0,0.0,0.0,0.0,5.828670879282072e-16,0.0,0.0
2021-02-24,0.007193825104436179,-0.097030751851622,0.6234134754759258,-0.0604902782398618,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0
2021-02-25,-0.0039580413437223985,0.005123116140466046,0.6218399350458401,0.003185758208019701,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0
2021-02-26,-0.004897174239276048,0.13385177808394746,0.6211490076807475,0.0831418991331476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0
2021-03-01,0.005291892049029746,0.15195451872164226,0.6206897699534191,0.09431661526871865,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0
2021-03-02,-0.001130212876620934,0.20247597962262898,0.6186878297161589,0.12526942440237754,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-03,0.002998987580005333,0.24512694790632014,0.6191963026067315,0.15178169981286632,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-04,0.00490339918392003,0.1726140440578706,0.6179838160888751,0.10667268565741608,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-05,0.007654681266282645,0.24666055775878223,0.6173341807741272,0.1522719933533071,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.00039665613681266277,0.24700301088203405,0.617342120133241,0.1524853624172089,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,0.0,0.0
2021-03-09,-0.003431915601312684,0.37182465826556016,0.4638980547116599,0.17248873566322107,0.0,0.0,0.0,0.0,0.0,0.6551427418078652,0.0,0.0,0.0,0.3448572581921348,0.0,0.0,0.0,0.0
2021-03-10,0.0058317773697061735,0.46583277788458566,0.6143977070602871,0.28620659060581344,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0
2021-03-11,0.006123356287316165,1.2765807620886949,0.3350928419498542,0.4277730755468115,0.0,0.0,0.0,0.0,0.0,0.0012619924906684117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987380075093316
2021-03-12,0.00048666504248856296,0.8282092751558108,0.5700198361442932,0.4720957153174991,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-15,-0.002213435402645079,0.9363566979551089,0.4554009950903247,0.4264177720082472,0.0,0.0,0.0,0.0,0.0,0.7275879451493,0.0,0.0,0.0,0.27241205485069997,0.0,0.0,0.0,0.0
2021-03-16,-0.004349256093207896,1.3354125686807377,0.30250521616025455,0.40396926775188735,0.0,0.0,0.0,0.0,0.0,0.3496977520299332,0.0,0.0,0.0,0.6503022479700669,0.0,0.0,0.0,0.0
2021-03-17,0.0011256875212037791,1.100478665897355,0.3178542308016004,0.34979179986237524,0.0,0.0,0.0,0.0,0.0,0.43239671789450806,0.0,0.0,0.0,0.5676032821054918,0.0,0.0,0.0,0.0
2021-03-18,-0.009098391514881796,1.4843305759448144,0.2639356758660745,0.3917677937706743,0.0,0.0,0.0,0.0,0.0,0.3150949320927197,0.0,0.0,0.0,0.6849050679072802,0.0,0.0,0.0,0.0
